Year,Month,Day,Specific Humidity,Relative Humidity,Temperature,Precipitation,sequenceId,itemPosition
2000,1,1,8.06,48.25,23.93,0.0,1.0,0
2000,2,1,8.73,50.81,25.83,0.11,1.0,1
2000,3,1,8.48,42.88,26.68,0.01,1.0,2
2000,4,1,13.79,55.69,22.49,0.02,1.0,3
2000,5,1,17.4,70.88,19.07,271.14,1.0,4
2000,6,1,19.53,84.19,7.91,313.67,1.0,5
2000,7,1,18.8,88.5,6.67,820.45,1.0,6
2000,8,1,18.86,88.44,7.07,362.38,1.0,7
2000,9,1,18.43,86.12,10.63,97.85,1.0,8
2000,10,1,16.72,78.38,15.38,63.41,1.0,9
2000,11,1,12.02,63.69,17.48,4.37,1.0,10
2000,12,1,7.39,44.56,20.09,11.25,1.0,11
2001,1,1,8.06,45.81,22.94,0.0,1.0,12
2001,2,1,7.57,41.56,22.7,0.0,1.0,13
2001,3,1,11.29,55.56,20.97,0.03,1.0,14
2001,4,1,12.27,49.69,22.73,1.57,1.0,15
2001,5,1,16.6,62.44,16.03,29.11,1.0,16
2001,6,1,19.1,81.94,9.83,510.09,1.0,17
2001,7,1,19.23,89.0,5.98,622.31,1.0,18
2001,8,1,18.92,90.94,5.47,429.62,1.0,19
2001,9,1,18.68,87.69,10.91,155.88,1.0,20
2001,10,1,16.72,80.19,14.76,120.24,1.0,21
2001,11,1,12.51,66.56,18.25,6.15,1.0,22
2001,12,1,9.83,56.44,17.97,0.0,1.0,23
2002,1,1,8.18,51.06,23.58,0.03,1.0,24
2002,2,1,7.75,39.31,25.44,0.11,1.0,25
2002,3,1,9.77,43.44,23.32,0.47,1.0,26
2002,4,1,12.88,50.12,21.04,2.06,1.0,27
2002,5,1,16.85,60.44,19.38,8.63,1.0,28
2002,6,1,19.17,78.06,13.12,498.92,1.0,29
2002,7,1,18.92,85.12,6.26,126.77,1.0,30
2002,8,1,18.86,89.88,6.24,581.79,1.0,31
2002,9,1,17.88,85.75,12.04,87.71,1.0,32
2002,10,1,15.81,71.75,17.16,17.29,1.0,33
2002,11,1,11.17,57.0,18.57,2.59,1.0,34
2002,12,1,8.67,48.75,23.45,0.21,1.0,35
2003,1,1,8.48,43.25,25.19,0.03,1.0,36
2003,2,1,9.34,48.12,21.83,8.41,1.0,37
2003,3,1,9.09,42.19,23.27,0.11,1.0,38
2003,4,1,13.24,52.44,21.49,0.76,1.0,39
2003,5,1,15.69,58.44,20.51,0.01,1.0,40
2003,6,1,19.53,79.75,14.93,710.1,1.0,41
2003,7,1,20.2,89.81,5.22,584.85,1.0,42
2003,8,1,19.23,89.5,5.56,380.55,1.0,43
2003,9,1,18.68,88.94,7.65,233.14,1.0,44
2003,10,1,15.87,76.0,15.73,50.96,1.0,45
2003,11,1,13.43,69.81,16.23,1.1,1.0,46
2003,12,1,9.64,56.44,20.71,0.16,1.0,47
2004,1,1,8.67,51.94,22.16,0.37,1.0,48
2004,2,1,7.51,38.88,24.88,0.03,1.0,49
2004,3,1,8.73,37.19,23.07,0.0,1.0,50
2004,4,1,14.04,57.25,18.28,0.06,1.0,51
2004,5,1,16.91,62.81,21.23,92.28,1.0,52
2004,6,1,19.23,81.31,11.2,376.96,1.0,53
2004,7,1,19.35,87.25,6.24,663.26,1.0,54
2004,8,1,18.98,90.62,5.7,949.59,1.0,55
2004,9,1,18.86,87.0,10.34,225.06,1.0,56
2004,10,1,15.2,76.69,14.52,27.3,1.0,57
2004,11,1,13.06,66.5,16.66,4.29,1.0,58
2004,12,1,9.34,54.44,18.29,0.01,1.0,59
2005,1,1,8.0,49.5,22.85,3.47,1.0,60
2005,2,1,8.54,46.69,26.7,0.0,1.0,61
2005,3,1,10.19,48.5,24.38,0.41,1.0,62
2005,4,1,11.96,48.5,23.25,13.56,1.0,63
2005,5,1,15.87,59.81,18.37,15.65,1.0,64
2005,6,1,19.17,76.12,12.55,799.32,1.0,65
2005,7,1,20.14,91.12,4.91,1095.38,1.0,66
2005,8,1,19.17,90.19,6.21,432.24,1.0,67
2005,9,1,19.47,92.06,9.0,776.41,1.0,68
2005,10,1,15.62,76.81,16.19,75.44,1.0,69
2005,11,1,11.54,66.81,17.23,0.0,1.0,70
2005,12,1,9.46,58.5,19.3,0.0,1.0,71
2006,1,1,8.24,49.38,23.38,0.0,1.0,72
2006,2,1,7.87,38.5,24.25,0.0,1.0,73
2006,3,1,10.38,48.25,23.8,9.61,1.0,74
2006,4,1,13.37,56.88,19.78,0.01,1.0,75
2006,5,1,16.66,63.94,16.48,187.67,1.0,76
2006,6,1,19.59,81.62,8.96,441.71,1.0,77
2006,7,1,19.41,91.12,4.73,1122.56,1.0,78
2006,8,1,18.86,91.56,5.13,1052.65,1.0,79
2006,9,1,19.29,90.44,8.38,389.08,1.0,80
2006,10,1,17.03,79.38,14.12,142.46,1.0,81
2006,11,1,14.34,74.56,13.64,24.05,1.0,82
2006,12,1,10.86,62.12,17.57,0.35,1.0,83
2007,1,1,8.85,51.56,22.68,0.03,1.0,84
2007,2,1,10.01,53.69,20.73,0.35,1.0,85
2007,3,1,9.34,42.44,25.3,0.0,1.0,86
2007,4,1,12.94,50.88,23.7,8.47,1.0,87
2007,5,1,16.24,60.12,15.14,5.13,1.0,88
2007,6,1,20.08,81.25,10.63,902.25,1.0,89
2007,7,1,20.02,89.75,6.21,706.04,1.0,90
2007,8,1,19.59,90.81,6.16,609.34,1.0,91
2007,9,1,19.47,89.62,8.16,449.85,1.0,92
2007,10,1,14.65,73.5,14.66,5.6,1.0,93
2007,11,1,12.82,67.94,18.42,7.12,1.0,94
2007,12,1,10.68,60.69,20.99,0.0,1.0,95
2008,1,1,7.45,47.12,23.96,0.0,1.0,96
2008,2,1,6.65,39.25,29.28,0.03,1.0,97
2008,3,1,10.01,44.62,22.02,6.91,1.0,98
2008,4,1,12.82,51.94,21.89,0.21,1.0,99
2008,5,1,16.17,61.44,15.66,3.31,1.0,100
2008,6,1,19.59,84.12,12.2,708.11,1.0,101
2008,7,1,19.53,89.38,5.33,627.03,1.0,102
2008,8,1,18.98,90.31,6.88,698.05,1.0,103
2008,9,1,18.8,88.88,10.93,513.22,1.0,104
2008,10,1,15.5,75.06,16.25,36.19,1.0,105
2008,11,1,13.0,67.69,17.81,2.71,1.0,106
2008,12,1,10.8,58.06,20.38,6.76,1.0,107
2009,1,1,9.09,50.12,24.01,0.0,1.0,108
2009,2,1,7.69,39.81,25.62,0.0,1.0,109
2009,3,1,9.7,42.19,23.08,3.2,1.0,110
2009,4,1,12.27,47.75,22.87,0.54,1.0,111
2009,5,1,15.81,58.56,16.99,2.06,1.0,112
2009,6,1,18.55,73.06,11.15,221.99,1.0,113
2009,7,1,19.84,90.44,5.26,1052.5,1.0,114
2009,8,1,19.41,89.44,6.26,403.09,1.0,115
2009,9,1,19.41,88.69,9.84,277.45,1.0,116
2009,10,1,15.87,75.62,15.39,206.96,1.0,117
2009,11,1,14.22,75.12,16.66,109.36,1.0,118
2009,12,1,11.6,67.12,18.44,0.08,1.0,119
2010,1,1,9.83,56.94,20.45,0.35,1.0,120
2010,2,1,9.16,50.5,23.31,0.01,1.0,121
2010,3,1,10.62,47.12,23.78,6.02,1.0,122
2010,4,1,13.79,53.25,21.23,0.49,1.0,123
2010,5,1,17.09,59.88,15.62,11.74,1.0,124
2010,6,1,20.57,84.19,10.43,662.62,1.0,125
2010,7,1,20.39,91.5,6.21,1068.2,1.0,126
2010,8,1,19.78,91.06,6.07,872.43,1.0,127
2010,9,1,19.41,88.75,9.36,248.55,1.0,128
2010,10,1,17.88,81.88,13.84,195.25,1.0,129
2010,11,1,17.03,82.31,13.91,65.66,1.0,130
2010,12,1,11.23,70.69,19.12,0.0,1.0,131
2011,1,1,8.85,56.69,22.66,0.0,1.0,132
2011,2,1,9.03,51.19,22.02,0.16,1.0,133
2011,3,1,8.73,39.44,23.73,0.05,1.0,134
2011,4,1,13.55,55.12,20.6,6.9,1.0,135
2011,5,1,16.17,60.94,15.72,2.1,1.0,136
2011,6,1,19.78,82.5,11.82,350.5,1.0,137
2011,7,1,19.71,90.06,7.24,1093.05,1.0,138
2011,8,1,19.53,91.38,6.05,629.81,1.0,139
2011,9,1,18.74,88.56,8.3,348.67,1.0,140
2011,10,1,17.03,79.06,14.62,166.83,1.0,141
2011,11,1,13.0,66.69,16.54,0.42,1.0,142
2011,12,1,10.07,58.62,20.41,0.0,1.0,143
2012,1,1,8.18,54.44,21.98,0.0,1.0,144
2012,2,1,6.47,35.88,29.15,0.0,1.0,145
2012,3,1,7.51,37.5,27.43,0.0,1.0,146
2012,4,1,13.06,53.44,20.14,2.45,1.0,147
2012,5,1,15.75,61.19,15.54,1.83,1.0,148
2012,6,1,18.68,74.69,13.49,238.62,1.0,149
2012,7,1,19.84,88.75,6.79,583.05,1.0,150
2012,8,1,19.41,90.31,5.54,385.66,1.0,151
2012,9,1,18.86,89.06,10.54,408.01,1.0,152
2012,10,1,16.78,78.44,14.91,204.61,1.0,153
2012,11,1,12.45,67.31,17.12,0.34,1.0,154
2012,12,1,10.99,63.0,17.77,0.0,1.0,155
2013,1,1,8.54,53.44,22.33,0.0,1.0,156
2013,2,1,9.52,49.81,23.1,6.72,1.0,157
2013,3,1,9.46,43.0,22.1,0.79,1.0,158
2013,4,1,13.24,55.75,20.92,0.01,1.0,159
2013,5,1,16.36,60.31,17.23,0.42,1.0,160
2013,6,1,19.96,86.5,10.9,932.22,1.0,161
2013,7,1,19.47,91.69,4.83,886.67,1.0,162
2013,8,1,18.8,89.81,5.59,233.98,1.0,163
2013,9,1,18.98,88.62,8.92,314.67,1.0,164
2013,10,1,17.4,81.94,14.21,88.57,1.0,165
2013,11,1,13.49,71.12,16.74,4.21,1.0,166
2013,12,1,10.19,60.88,17.84,2.19,1.0,167
2014,1,1,9.52,56.69,22.52,0.75,1.0,168
2014,2,1,8.91,48.56,22.5,0.43,1.0,169
2014,3,1,10.01,45.31,26.31,3.95,1.0,170
2014,4,1,12.21,48.88,22.52,2.1,1.0,171
2014,5,1,15.38,56.56,17.28,12.83,1.0,172
2014,6,1,18.31,68.06,13.32,75.97,1.0,173
2014,7,1,19.65,86.69,9.27,1307.43,1.0,174
2014,8,1,19.41,90.44,7.85,631.78,1.0,175
2014,9,1,18.49,86.88,10.76,262.4,1.0,176
2014,10,1,16.36,75.31,14.91,28.7,1.0,177
2014,11,1,13.12,66.94,16.23,19.39,1.0,178
2014,12,1,9.34,54.5,21.85,18.77,1.0,179
2015,1,1,8.67,53.25,21.37,0.85,1.0,180
2015,2,1,8.24,43.69,22.51,11.77,1.0,181
2015,3,1,10.8,50.25,29.34,40.27,1.0,182
2015,4,1,13.79,56.38,21.41,1.82,1.0,183
2015,5,1,16.72,61.25,16.24,33.98,1.0,184
2015,6,1,19.35,80.62,12.81,804.68,1.0,185
2015,7,1,19.41,86.62,6.74,281.76,1.0,186
2015,8,1,19.04,87.44,7.28,122.29,1.0,187
2015,9,1,18.31,84.44,13.56,307.96,1.0,188
2015,10,1,17.15,75.81,14.72,72.07,1.0,189
2015,11,1,13.85,69.44,15.36,29.46,1.0,190
2015,12,1,9.46,52.5,22.91,0.0,1.0,191
2016,1,1,7.57,45.5,24.46,0.38,1.0,192
2016,2,1,9.52,50.56,23.57,20.79,1.0,193
2016,3,1,10.8,47.94,23.17,3.13,1.0,194
2016,4,1,13.37,53.75,19.66,1.68,1.0,195
2016,5,1,17.03,61.38,16.02,9.39,1.0,196
2016,6,1,19.41,77.31,13.92,535.52,1.0,197
2016,7,1,19.71,91.19,5.2,1009.4,1.0,198
2016,8,1,19.17,90.75,5.83,684.2,1.0,199
2016,9,1,18.62,90.0,8.02,606.37,1.0,200
2016,10,1,15.56,78.81,15.45,100.44,1.0,201
2016,11,1,10.5,61.06,18.4,0.09,1.0,202
2016,12,1,9.28,53.94,20.38,0.03,1.0,203
2017,1,1,8.0,48.62,23.98,0.0,1.0,204
2017,2,1,7.45,37.75,24.93,0.13,1.0,205
2017,3,1,10.07,47.0,27.39,1.85,1.0,206
2017,4,1,12.63,53.12,23.02,0.18,1.0,207
2017,5,1,16.17,59.12,16.91,13.69,1.0,208
2017,6,1,20.08,82.31,12.02,600.76,1.0,209
2017,7,1,19.84,89.94,5.37,1012.11,1.0,210
2017,8,1,19.29,89.94,6.88,665.17,1.0,211
2017,9,1,19.47,88.38,10.27,472.09,1.0,212
2017,10,1,16.85,77.19,15.91,135.57,1.0,213
